STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/2001,15,24,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/2001,12,19,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/2001,18,28,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/2001,25,30,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/2001,29,36,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/2001,25,33,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/2001,28,34,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/2001,19,26,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/2001,17,23,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/2001,26,34,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/2001,29,39,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/2001,30,37,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/2001,34,36,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/2001,34,36,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/2001,33,35,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/2001,29,31,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/2001,23,26,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/2001,25,31,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/2001,22,27,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/2001,18,24,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/2001,17,25,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/2001,18,29,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/2001,28,35,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/2001,22,28,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/2001,19,25,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/2001,26,31,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/2001,21,26,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/2001,22,29,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/2001,34,42,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/2001,36,40,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/2001,31,35,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/2001,18,32,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/2001,0,12,-2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/2001,20,30,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/2001,30,34,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/2001,29,32,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/2001,28,36,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/2001,26,35,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/2001,44,53,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/2001,37,54,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/2001,16,20,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/2001,19,27,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/2001,29,38,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/2001,35,38,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/2001,33,37,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/2001,29,32,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/2001,23,31,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/17/2001,13,19,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/18/2001,18,28,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/19/2001,35,42,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/20/2001,27,36,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/21/2001,15,21,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/22/2001,23,27,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/23/2001,24,30,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/24/2001,43,56,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/2001,42,55,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/2001,31,40,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/2001,23,29,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/2001,20,28,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/2001,31,42,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/2001,35,42,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/2001,36,49,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/2001,30,35,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/2001,23,28,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/2001,28,34,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/2001,33,44,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/2001,31,35,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/9/2001,31,38,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/10/2001,34,50,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/11/2001,33,38,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/12/2001,40,49,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/13/2001,,42,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/14/2001,38,50,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/15/2001,39,45,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/16/2001,32,34,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/17/2001,32,38,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/2001,32,44,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/2001,36,46,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/2001,38,48,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/2001,41,52,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/2001,42,56,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/2001,42,50,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/2001,29,36,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/2001,22,25,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/2001,25,33,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/2001,32,39,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/2001,36,49,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/2001,41,46,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/30/2001,42,51,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/31/2001,46,56,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/2001,40,49,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/2001,45,60,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/2001,41,46,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/2001,42,52,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/2001,48,60,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/2001,53,62,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/2001,64,83,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/2001,61,77,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/2001,52,59,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/2001,47,51,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/2001,64,77,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/2001,57,66,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/2001,48,59,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/2001,52,65,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/2001,49,54,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/2001,36,42,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/2001,38,46,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/2001,41,55,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/2001,51,68,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/2001,64,77,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/2001,69,82,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/2001,65,78,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/2001,58,72,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/2001,52,61,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/2001,51,60,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/2001,61,76,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/2001,52,63,40
